episode,reward
0,-0.7999999999999999
1,0.0
2,-12.4
3,-0.30000000000000004
4,-12.4
5,-0.2
6,-1.5000000000000002
7,19.3
8,-12.4
9,-1.7000000000000004
10,19.3
11,-2.0000000000000004
12,-12.4
13,-0.2
14,-0.30000000000000004
15,0.0
16,18.2
17,19.5
18,-2.0000000000000004
19,-1.5000000000000002
20,-1.7000000000000004
21,-12.4
22,18.7
23,-0.2
24,-0.6
25,0.0
26,-12.4
27,-12.4
28,-0.4
29,-0.5
30,-12.4
31,19.6
32,18.6
33,-0.7
34,-0.5
35,-12.4
36,-12.4
37,-12.4
38,18.9
39,-0.4
40,-12.4
41,18.7
42,-0.1
43,-0.1
44,-0.30000000000000004
45,-0.7999999999999999
46,-0.30000000000000004
47,-12.4
48,-0.5
49,0.0
50,19.1
51,-12.4
52,19.0
53,18.4
54,19.9
55,0.0
56,-0.30000000000000004
57,-0.5
58,17.9
59,-0.30000000000000004
60,19.6
61,-1.9000000000000006
62,-2.1000000000000005
63,18.9
64,18.6
65,19.5
66,-12.4
67,-0.30000000000000004
68,0.0
69,-12.4
70,19.1
71,18.4
72,-12.4
73,19.8
74,19.9
75,19.8
76,-12.4
77,18.4
78,19.3
79,-12.4
80,19.9
81,-0.6
82,19.8
83,-0.6
84,-2.1000000000000005
85,20.0
86,19.2
87,19.8
88,-0.1
89,-1.9000000000000006
90,-12.4
91,19.6
92,19.0
93,-12.4
94,-12.4
95,20.0
96,-12.4
97,-0.4
98,-0.7999999999999999
99,20.0
100,-12.4
101,19.4
102,19.2
103,18.099999999999998
104,20.0
105,19.1
106,0.0
107,19.9
108,-0.30000000000000004
109,19.7
110,19.0
111,19.9
112,19.6
113,18.7
114,19.5
115,19.9
116,-1.5000000000000002
117,19.6
118,-0.6
119,-0.1
120,19.6
121,18.8
122,18.4
123,-1.4000000000000001
124,-12.4
125,-1.8000000000000005
126,18.4
127,19.7
128,-1.5000000000000002
129,-12.4
130,-1.7000000000000004
131,-2.2000000000000006
132,19.8
133,19.5
134,0.0
135,19.5
136,-0.2
137,-0.4
138,0.0
139,18.6
140,20.0
141,-0.8999999999999999
142,19.7
143,-0.5
144,-0.30000000000000004
145,0.0
146,19.2
147,19.9
148,-0.1
149,-1.2
150,18.8
151,18.0
152,19.5
153,-0.30000000000000004
154,0.0
155,18.7
156,19.4
157,19.9
158,18.9
159,19.9
160,0.0
161,-0.7999999999999999
162,-0.7999999999999999
163,-1.4000000000000001
164,17.7
165,-0.9999999999999999
166,-1.0999999999999999
167,0.0
168,19.4
169,19.9
170,-0.2
171,19.8
172,19.3
173,0.0
174,-2.1000000000000005
175,19.6
176,-12.4
177,20.0
178,19.9
179,-0.1
180,19.5
181,-12.4
182,20.0
183,19.5
184,-0.4
185,19.1
186,-0.30000000000000004
187,18.3
188,19.4
189,20.0
190,-1.2
191,19.5
192,18.9
193,17.599999999999998
194,19.9
195,19.0
196,19.5
197,19.6
198,-12.4
199,19.7
200,19.8
201,19.7
202,19.7
203,-0.30000000000000004
204,19.9
205,-2.1000000000000005
206,18.9
207,-0.1
208,19.1
209,19.3
210,-0.1
211,-1.4000000000000001
212,19.8
213,-0.1
214,18.8
215,0.0
216,-0.7999999999999999
217,-0.4
218,-0.6
219,18.3
220,19.3
221,-0.2
222,-0.30000000000000004
223,19.6
224,19.8
225,-0.1
226,19.1
227,0.0
228,19.0
229,20.0
230,18.9
231,18.9
232,-0.6
233,19.7
234,19.6
235,19.9
236,19.7
237,0.0
238,19.1
239,19.9
240,19.7
241,19.1
242,-0.6
243,20.0
244,19.5
245,-12.4
246,19.3
247,-0.5
248,0.0
249,20.0
250,18.8
251,19.3
252,19.6
253,19.4
254,20.0
255,-12.4
256,19.3
257,-0.5
258,18.4
259,0.0
260,17.9
261,20.0
262,0.0
263,19.4
264,18.7
265,20.0
266,-1.0999999999999999
267,-0.5
268,18.9
269,19.3
270,19.9
271,-0.5
272,19.3
273,-0.4
274,19.8
275,19.9
276,20.0
277,19.6
278,19.2
279,19.9
280,19.4
281,-1.4000000000000001
282,19.1
283,19.9
284,20.0
285,19.1
286,20.0
287,-2.1000000000000005
288,0.0
289,-0.1
290,19.8
291,19.9
292,19.7
293,18.3
294,19.1
295,-1.7000000000000004
296,19.9
297,19.6
298,19.6
299,-0.7
300,-0.2
301,19.5
302,19.7
303,-12.4
304,-0.5
305,19.8
306,-0.6
307,20.0
308,-0.6
309,19.6
310,19.8
311,19.9
312,17.8
313,19.8
314,19.8
315,-0.8999999999999999
316,19.8
317,18.9
318,19.2
319,-0.4
320,20.0
321,19.3
322,19.8
323,-1.2
324,-0.1
325,17.9
326,19.6
327,19.4
328,19.7
329,-0.1
330,18.8
331,-0.2
332,0.0
333,-2.0000000000000004
334,20.0
335,19.6
336,19.9
337,19.7
338,19.7
339,-0.2
340,20.0
341,-0.2
342,19.4
343,0.0
344,19.9
345,19.5
346,19.6
347,20.0
348,19.6
349,19.1
350,19.7
351,0.0
352,19.7
353,-0.1
354,19.9
355,18.7
356,20.0
357,20.0
358,19.8
359,-0.5
360,19.6
361,-1.3
362,19.9
363,18.5
364,19.9
365,19.0
366,0.0
367,19.6
368,18.9
369,19.6
370,19.8
371,19.2
372,-0.6
373,-1.4000000000000001
374,18.4
375,20.0
376,-0.7999999999999999
377,-0.7
378,19.8
379,19.9
380,19.7
381,19.2
382,19.8
383,19.5
384,19.1
385,20.0
386,19.9
387,19.5
388,19.8
389,19.9
390,-1.4000000000000001
391,19.9
392,0.0
393,20.0
394,-1.2
395,19.8
396,19.3
397,19.7
398,19.3
399,19.4
400,0.0
401,20.0
402,19.5
403,19.8
404,19.2
405,18.0
406,18.8
407,20.0
408,19.8
409,19.9
410,19.5
411,-0.2
412,-12.4
413,-0.1
414,19.9
415,19.9
416,19.6
417,19.6
418,-0.7999999999999999
419,19.3
420,19.7
421,19.2
422,19.7
423,20.0
424,-0.4
425,-0.2
426,19.7
427,-0.1
428,19.5
429,0.0
430,19.9
431,19.1
432,19.7
433,-1.4000000000000001
434,19.7
435,19.2
436,-0.2
437,19.4
438,18.8
439,18.7
440,19.9
441,19.2
442,19.7
443,19.7
444,-0.7999999999999999
445,19.8
446,19.3
447,-0.2
448,19.5
449,20.0
450,19.2
451,-0.1
452,-0.30000000000000004
453,0.0
454,19.0
455,-1.2
456,19.7
457,19.2
458,-0.5
459,-0.2
460,19.8
461,18.7
462,20.0
463,20.0
464,18.4
465,-0.2
466,0.0
467,19.6
468,19.7
469,0.0
470,-0.4
471,19.2
472,20.0
473,19.5
474,-0.4
475,19.0
476,-0.7999999999999999
477,20.0
478,20.0
479,20.0
480,-0.5
481,19.4
482,20.0
483,19.8
484,19.8
485,19.4
486,-0.1
487,-0.1
